Dataset,Model,Step,MAE,RMSE,MAPE
PEMS08,DCRNN,0,15.3148,24.2919,0.1000

PEMS08,AGCRN,3,14.5882,22.6945,0.0967
PEMS08,AGCRN,6,15.6282,24.6188,0.1027
PEMS08,AGCRN,12,17.3438,27.3420,0.1142
PEMS08,AGCRN,0,15.6937,24.6915,0.1035

PEMS08,GWNET,3,13.6783,21.7931,0.0878
PEMS08,GWNET,6,14.5993,23.5209,0.0942
PEMS08,GWNET,12,16.0866,25.8291,0.1034
PEMS08,GWNET,0,14.6084,23.4811,0.0938

PEMS08,MTGNN,3,14.1790,22.2604,0.0910
PEMS08,MTGNN,6,15.2539,24.3400,0.0971
PEMS08,MTGNN,12,16.9923,26.9520,0.1083
PEMS08,MTGNN,0,15.2632,24.2647,0.0973

PEMS08,StemGNN,3,15.2093,23.6975,0.1035
